Datetime,Tweet Id,Text,Username
2020-02-28 23:59:57+00:00,1233542386669641728,"For everyone comparing COVID-19 to the flu, just a reminder that even with vaccines the flu kills tens of thousands a year. Now imagine a more deadly virus with no vaccine or assurance that any vaccine developed will be affordable and hi! Welcome to the pandemic!",MonaIbrahim
2020-02-28 23:59:57+00:00,1233542384945774592,"収録の時はCOVID-19で学校が大変だと予想だにしてなかっただろうね。

手紙送った小6の5歳の子は卒業式出来たかな?
#チコちゃんに叱られる",o_sama_melon
2020-02-28 23:59:55+00:00,1233542378797125636,"No tardan en aparecer niños llamados :
Covid Stiven o
Brayan Covid 
Covid Michael y así varios!!",maobaro
2020-02-28 23:59:55+00:00,1233542376393756673,"@rushlimbaugh Rush ,you deserve your cancer like a siamese twin .'What the democrats want is people to die"" is for Democrats to announce. Democrats will talk for themselves; prissy lil gab. Annouce conservative's response to Covid 19. Do you.   -Michael Bench, Physiologist.",EekiSpyykes
2020-02-28 23:59:55+00:00,1233542375793942529,@CoronaVid19 a ver si paras ya Churra que nos vas a matar a tod@s acuérdate de mi cuando llegue el día y se compasivo,Benmusicesp
2020-02-28 23:59:53+00:00,1233542370878251008,"@JotalbertoSilva Taxa de letalidade de H1N1 (2009) &lt; 0,4%, a taxa de letalidade da gripe comum no ano passado nos EUA foi de 0,09%, hoje o Covid-19 tem uma taxa de letalidade de 3,4%.

https://t.co/O6Qvj5OjLX
https://t.co/UpZVE6INXR…",ricmagx
2020-02-28 23:59:53+00:00,1233542367795392513,#Coronavirus COVID-19 (2019-nCoV) interactive map  https://t.co/wM9aOeUft1,MJPrecopio
2020-02-28 23:59:51+00:00,1233542361562611713,@Brian_Pilgrim40 @10TV Now that you said that - it's kind of like posting local news or any local news that doesn't have to do with COVID-19 or the D primaries.,MeandBailey
2020-02-28 23:59:51+00:00,1233542358521843713,Mujer proveniente de Italia se encuentra en Hospital de Maipú en exámenes por sospechas de covid-19 https://t.co/k1NR8lzkeJ vía @biobio,lepegoz2
2020-02-28 23:59:48+00:00,1233542349197905928,@CoronaVid19 Ya sabes si tienes planes para Fallas?? Por ir preparándonos...,__Daians__
2020-02-28 23:59:45+00:00,1233542336065482759,@AlejandroSanz Como el @CoronaVid19,JuanchoGOCA
2020-02-28 23:59:43+00:00,1233542328117231617,Covid-19: Rio tem 17 casos suspeitos e secretário defende álcool gel https://t.co/r7NP1TWkxX,tribunadonorte
2020-02-28 23:59:42+00:00,1233542323478368257,"ごめんなさい。コロナ、って言わないでください。
ちゃんと「新型コロナウイルス(COVID-19)」って言って欲しいんです…

コロナに何の罪があるんですか…住宅設備を長年支えてきたのに…
みなさんの家にコロナ製品は無いんですか？！
オレの家にはあります！医療従事者を支えてくれてます、コロナ！！",Imymemine0516
2020-02-28 23:59:42+00:00,1233542321804861443,"(@Guiosvald) #Nicaragua LO BÁSICO PARA PROTEGERSE DEL COVID-19
La mascarilla puede proteger a otros cuando la utiliza un enfermo, pero puede volverse contra la gente, porque por acomodársela, se tocan la cara muchas veces. https://t.co/tMrIngyXY0",traficoni
2020-02-28 23:59:42+00:00,1233542321737805827,TEA Press Release: Novel Coronavirus (COVID-19)... Good Information ℹ️ https://t.co/AkGq6fMjp3,CSSS_hcde
2020-02-28 23:59:40+00:00,1233542315286892544,"(@Guiosvald) #Nicaragua LO BÁSICO PARA PROTEGERSE DEL COVID-19
Por esto, la recomendación principal es la higiene: hay que lavarse las manos con regularidad y no tocarse la cara con ellas. https://t.co/vuxmSUjiq0",traficoni
2020-02-28 23:59:40+00:00,1233542313357565953,@sara20001122s おはようございます｡どういたしまして｡COVID-19の猛威は侮れません｡此の先どの様な経済的混乱が起きるのか分からないのでTV･新聞やネット等何が正しい情報なのか冷静に注視する必要が有ります｡今日も良い1日を｡,june22narita27
2020-02-28 23:59:40+00:00,1233542312527003648,"(@Guiosvald) #Nicaragua LO BÁSICO PARA PROTEGERSE DEL COVID-19 o cuando las gotas caen en una superficie, como una mesa o una silla, y alguien toca ahí, y luego se lleva las manos al rostro. https://t.co/gqi28Zs9Ug",traficoni
2020-02-28 23:59:38+00:00,1233542306571177986,"""CDC does not recommend that people who are well wear a facemask to protect themselves from respiratory diseases, including COVID-19.""

""Avoid touching your eyes, nose, and mouth.""

今日、友だちと遊ぶ約束してるムスメ氏にはこれ読ませてから送り出す。

https://t.co/scvRbfXE1g",21stStupid
2020-02-28 23:59:38+00:00,1233542306139197441,"""The study found that kidney dysfunction occurs in 3 to 10 percent of novel coronavirus (COVID-19) infection. In addition, acute damage to the kidneys occurs in seven percent of patients.""
https://t.co/NG0XkgLCGI",CachetMarie
2020-02-28 23:59:38+00:00,1233542305719705607,"(@Guiosvald) #Nicaragua LO BÁSICO PARA PROTEGERSE DEL COVID-19
El coronavirus se transmite por gotas cuando alguien estornuda y llegan directamente al rostro de una persona;",traficoni
2020-02-28 23:59:37+00:00,1233542300032290817,"Oh man! 😧

North Korea's first confirmed Coronavirus COVID 19 patient shot dead: report https://t.co/HG41TMBIwK via @IBTimesSG",Dcl_60
2020-02-28 23:59:36+00:00,1233542295850508288,"Modelo de aprendizaje profundo que puede detectar la neumonía por COVID-19 a partir de tomografías computarizadas con la misma performance que un radiólogo.
https://t.co/c1MvY8idFp",rabalde
2020-02-28 23:59:34+00:00,1233542290120949761,"@NeringArden @DanSummersAB @DiorIzzy @VarshneyMD @shandro @Albertadoctors @jkenney How is the global economy going? How can @jkenney rebound AB when whole Canada is a disaster? he can hire LOTS of unnecessary public employees with your taxes like Trudeau &amp;Notley did.
How Trudeau will manage now with this unexpected covid-19 crisis with Unbalanced budget?",AngieMdeC
2020-02-28 23:59:34+00:00,1233542287981854720,Es “muy elevada” la amenaza por el coronavirus COVID-19 en el mundo: OMS https://t.co/f4XoF9JdJi https://t.co/C6mSbbD2sx,HellenCastillo_
2020-02-28 23:59:33+00:00,1233542284097945600,Repatrian a tres mexicanos varados en Wuhan; no presentan síntomas del Covid-19 https://t.co/hhyJxoF21B https://t.co/fJhYbRMTvt,YaEsHoraMex
2020-02-28 23:59:33+00:00,1233542283137572868,"#Nicaragua
@ONU_es @CIDH @Bacanalnica  @TraficoNi @confidencial_ni @100noticiasni
LO BÁSICO PARA PROTEGERSE DEL COVID-19
La mascarilla puede proteger a otros cuando la utiliza un enfermo, pero puede volverse contra la gente, porque por acomodársela, se tocan la cara muchas veces.",Guiosvald
